What do you think would be an appropriate percentage of your municipal tax bill to go towards these facilities and services?,,,
,,,
Respondents,Response Date,Responses,Tags
534,Jul 03 2021 02:26 PM,1%,
535,Jul 03 2021 02:23 PM,Why not make it a full 3 percent. Most people wouldn't mind and those that don't won't care... much,
536,Jul 03 2021 02:19 PM,5,
537,Jul 03 2021 02:16 PM,3%,
538,Jul 03 2021 01:55 PM,25%,
539,Jul 03 2021 12:14 PM,3%,
540,Jul 03 2021 11:30 AM,3-5%. At least half of what the police gets,
541,Jul 03 2021 11:09 AM,3%,
542,Jul 03 2021 11:00 AM,3%,
543,Jul 03 2021 10:15 AM,It depends on how much use they are actually getting. Also what is an average percentage in comparison to other towns. ,
544,Jul 03 2021 09:06 AM,5%,
545,Jul 03 2021 08:11 AM,2%,
546,Jul 03 2021 07:46 AM,5%,
547,Jul 03 2021 07:27 AM,2.2,
548,Jul 03 2021 05:31 AM,i really don't know,
549,Jul 02 2021 09:23 PM,5,
550,Jul 02 2021 08:35 PM,I would pay 100 a year.,
551,Jul 02 2021 07:41 PM,don't know,
552,Jul 02 2021 07:05 PM,What percentage is $100/year?,
553,Jul 02 2021 04:52 PM,2.2,
554,Jul 02 2021 03:59 PM,2.20%,
555,Jul 02 2021 03:33 PM,4%,
556,Jul 02 2021 03:26 PM,3 to 4,
557,Jul 02 2021 03:13 PM,Don't know,
558,Jul 02 2021 03:04 PM,5%,
559,Jul 02 2021 03:02 PM,3%,
560,Jul 02 2021 02:02 PM,5%,
561,Jul 02 2021 02:02 PM,3%,
562,Jul 02 2021 01:57 PM,3%,
563,Jul 02 2021 01:42 PM,No idea really,
564,Jul 02 2021 12:52 PM,2.50%,
565,Jul 02 2021 12:33 PM,5%,
566,Jul 02 2021 11:44 AM,The current amount seems fair.,
567,Jul 02 2021 11:18 AM,3%,
568,Jul 02 2021 11:16 AM,$55 ,
569,Jul 02 2021 11:08 AM,4.50%,
570,Jul 02 2021 10:58 AM,3,
571,Jul 02 2021 10:57 AM,5% IF it's spent wisely which Montpelier is never wise with thier money. Fix the roads first and foremost. No one likes driving in Montpelier. No one!,
572,Jul 02 2021 10:49 AM,10%,
573,Jul 02 2021 10:43 AM,5-10%,
574,Jul 02 2021 10:29 AM,3%,
575,Jul 02 2021 10:17 AM,taxation is theft,
576,Jul 02 2021 10:12 AM,I am not sure I know enough about this to give a good answer.,
577,Jul 02 2021 09:17 AM,Let's go with the dollars and you figure the percentage.  Raise the average taxpayer's amount to $65 or $70.,
578,Jul 02 2021 08:49 AM,?,
579,Jul 02 2021 08:41 AM,5%,
580,Jul 02 2021 08:36 AM,5%,
581,Jul 02 2021 07:54 AM,?,
582,Jul 02 2021 07:08 AM,4,
583,Jul 02 2021 06:20 AM,15%,
584,Jul 01 2021 11:13 PM,C,
585,Jul 01 2021 10:35 PM,5%,
586,Jul 01 2021 10:06 PM,5-7%,
587,Jul 01 2021 08:49 PM,5%,
588,Jul 01 2021 08:47 PM,Not much more but a small increase shared by all.,
589,Jul 01 2021 08:33 PM,3-4 %,
590,Jul 01 2021 08:18 PM,3-4%,
591,Jul 01 2021 08:07 PM,3%,
592,Jul 01 2021 08:03 PM,not a Montpelier resident,
593,Jul 01 2021 07:42 PM,4,
594,Jul 01 2021 07:39 PM,5,
595,Jul 01 2021 07:20 PM,10%,
596,Jul 01 2021 07:13 PM,More,
597,Jul 01 2021 07:03 PM,5%,
598,Jul 01 2021 03:51 PM,not a resident,
599,Jul 01 2021 03:41 PM,10%,
600,Jul 01 2021 01:53 PM,5%,
601,Jul 01 2021 12:49 PM,4%,
602,Jul 01 2021 12:45 PM,would love to hear about details before deciding,
603,Jul 01 2021 12:18 PM,5,
604,Jul 01 2021 11:46 AM,$100 year for middle income family,
605,Jul 01 2021 09:59 AM,"Rather than taxing individuals, many of whom are older and would not benefit from, say, a mountain bike path, figure out to a different way of financing. Perhaps, through Federal open space funds. ",
606,Jul 01 2021 09:55 AM,?,
607,Jul 01 2021 09:13 AM,3.5,
608,Jul 01 2021 09:02 AM,Not sure but if our police budget is so high then recreation ought to be higher ,
609,Jul 01 2021 07:44 AM,"5%? If you're talking re-allocation of existing funds rather than additional, I'd say maybe 8%?",
610,Jun 30 2021 10:58 PM,Idk ,
611,Jun 30 2021 10:20 PM,4,
612,Jun 30 2021 09:52 PM,2.20%,
613,Jun 30 2021 08:58 PM,4%,
614,Jun 30 2021 08:06 PM,5,
615,Jun 30 2021 07:53 PM,About twice what it is.,
616,Jun 30 2021 07:25 PM,1%,
617,Jun 30 2021 05:57 PM,2%.,
618,Jun 30 2021 05:16 PM,8%,
619,Jun 30 2021 04:47 PM,3,
620,Jun 30 2021 04:12 PM,I have no perspective on this,
621,Jun 30 2021 03:55 PM,I’m not sure how to figure that. ,
622,Jun 30 2021 03:01 PM,5%,
623,Jun 30 2021 02:44 PM,????   Depends on maintenance expectations and needs. ,
624,Jun 30 2021 02:41 PM,3%,
625,Jun 30 2021 01:33 PM,5%,
626,Jun 30 2021 12:36 PM,5-May,
627,Jun 30 2021 11:46 AM,2.40%,
628,Jun 30 2021 11:36 AM,Not sure.,
629,Jun 30 2021 10:36 AM,1.50%,
630,Jun 30 2021 10:04 AM,3%,
631,Jun 30 2021 09:44 AM,2.2% maybe 3% if it needs to go up,
632,Jun 30 2021 09:40 AM,Idk,
633,Jun 30 2021 09:16 AM,?,
634,Jun 30 2021 08:18 AM,I don't pay taxes in Montpelier and feel it is not appropriate for me to make judgements for those who do.,
635,Jun 30 2021 08:09 AM,2.20%,
636,Jun 30 2021 07:26 AM,I'm in East Montpelier so whatever gets $50 seems good,
637,Jun 29 2021 10:33 PM,3%,
638,Jun 29 2021 09:40 PM,4%,
639,Jun 29 2021 09:24 PM,2.5,
640,Jun 29 2021 09:10 PM,2.00%,
641,Jun 29 2021 05:28 PM,4-5%,
642,Jun 29 2021 04:47 PM,4%,
643,Jun 29 2021 04:02 PM,Uncertain ,
644,Jun 29 2021 02:38 PM,Not sure ,
645,Jun 29 2021 02:08 PM,3,
646,Jun 29 2021 01:57 PM,Not sure,
647,Jun 29 2021 01:36 PM,?,
648,Jun 29 2021 01:28 PM,5%,
649,Jun 29 2021 01:06 PM,I haven't really thought about it.,
650,Jun 29 2021 12:16 PM,Don’t know!,
651,Jun 29 2021 12:09 PM,2.5,
652,Jun 29 2021 11:33 AM,Not informed enough to know ,
653,Jun 29 2021 11:27 AM,3,
654,Jun 29 2021 11:09 AM,I don't know? ,
655,Jun 29 2021 07:49 AM,?,
656,Jun 29 2021 07:26 AM,2.20%,
657,Jun 29 2021 06:48 AM,5,
658,Jun 28 2021 09:43 PM,"Since I'm required to answer this, I have no idea....",
659,Jun 28 2021 09:40 PM,4%,
660,Jun 28 2021 09:30 PM,I'd pay 4%,
661,Jun 28 2021 09:26 PM,?,
662,Jun 28 2021 09:20 PM,Take money from the police and put it towards the parks and rec,
663,Jun 28 2021 08:57 PM,2-3%,
664,Jun 28 2021 08:53 PM,5,
665,Jun 28 2021 08:49 PM,5-10%,
666,Jun 28 2021 07:24 PM,"No idea! That's not a really good metric for this (unless you're a municipal employee who's steeped in municipal budgets!). What are the innovations you're seeking to fund? If I were you I'd think in tiers: the low hanging fruits, the (fruit) pies in the sky, and the middle ground. Make a budget for each and think about funding options based on what you want to achieve. Some of these things will be more valuable to reisdents. Others will be more valuable to the business community. They don't need to be funded the same way.. ",
667,Jun 28 2021 06:51 PM,Don’t know,
668,Jun 28 2021 06:05 PM,3.50%,
669,Jun 28 2021 04:31 PM,5%,
670,Jun 28 2021 03:56 PM,Do no pay property taxes,
671,Jun 28 2021 03:24 PM,3-5%,
672,Jun 28 2021 03:23 PM,20%,
673,Jun 28 2021 02:42 PM,?,
674,Jun 28 2021 02:37 PM,2.20%,
675,Jun 28 2021 02:16 PM,"I think more public-private funding/volunteer work is the way to go if we want more.  Too few Montpelier taxpayers have the major burden of all city taxes.  Everyone should pay something, even if small contribution.  It is a bad situation when people who pay no taxes at all can vote to raise taxes paid by others. Everyone needs to pay something within reasonable means to avoid this kind of moral hazard.",
676,Jun 28 2021 01:39 PM,4-8%,
677,Jun 28 2021 01:18 PM,3%,
678,Jun 28 2021 01:17 PM,unsure ,
679,Jun 28 2021 01:09 PM,Not more than we do now.,
680,Jun 28 2021 12:21 PM,2.20%,
681,Jun 28 2021 12:05 PM,3,
682,Jun 28 2021 11:58 AM,This is difficult to answer without knowing whether 2.2% is adequate to fund existing services and maintenance,
683,Jun 28 2021 10:52 AM,5%-10% (defund the police to make this happen please),
684,Jun 28 2021 09:51 AM,3%,
685,Jun 28 2021 09:01 AM,"I rent, so I don't know.",
686,Jun 28 2021 08:35 AM,5%,
687,Jun 28 2021 07:04 AM,I don’t know ,
688,Jun 28 2021 06:31 AM,3%,
689,Jun 27 2021 10:31 PM,3.5,
690,Jun 27 2021 09:47 PM,25%,
691,Jun 27 2021 09:38 PM,I’m not sure.,
692,Jun 27 2021 09:17 PM,Depends on a breakdown of all services.,
693,Jun 27 2021 09:16 PM,3%,
694,Jun 27 2021 09:14 PM,5%,
695,Jun 27 2021 09:08 PM,"5% if continuing in same trajectory, 15-20% if grown to encompass youth programming.",
696,Jun 27 2021 09:05 PM,8%,
697,Jun 27 2021 08:11 PM,2 percent,
698,Jun 27 2021 08:09 PM,2.2,
699,Jun 27 2021 07:33 PM,N/A,
700,Jun 27 2021 07:16 PM,5%,
701,Jun 27 2021 05:30 PM,4,
702,Jun 27 2021 05:22 PM,5%,
703,Jun 27 2021 05:07 PM,5 to 10%,
704,Jun 27 2021 04:42 PM,4.4,
705,Jun 27 2021 04:21 PM,Hard to say as taxes already so high,
706,Jun 27 2021 04:20 PM,??,
707,Jun 27 2021 04:20 PM,5%,
708,Jun 27 2021 03:32 PM,4%,
709,Jun 27 2021 03:31 PM,At a level to ensure that any existing or new park can be adequately maintained.  ,
710,Jun 27 2021 03:30 PM,Since I do not use the facilities - I can not answer,
711,Jun 27 2021 03:05 PM,I don’t have an opinion or basis to answer this. ,
712,Jun 27 2021 02:15 PM,This is a meaningless question,
713,Jun 27 2021 01:48 PM,5%,
714,Jun 27 2021 01:48 PM,3 - 4%,
715,Jun 27 2021 01:41 PM,4 to 5 percent ,
716,Jun 27 2021 01:34 PM,"Hard to say in a vacuum, but recognize value and cost to develop, staff and maintain.",
717,Jun 27 2021 01:25 PM,1,
718,Jun 27 2021 12:21 PM,At least 3%,
719,Jun 27 2021 11:10 AM,1.5,
720,Jun 27 2021 10:34 AM,"I am a renter, so I can't answer this question. If I owned property I would probably encourage the city to allocate more than it is currently.",
721,Jun 27 2021 10:24 AM,Not sure,
722,Jun 27 2021 09:29 AM,3%,
723,Jun 27 2021 08:49 AM,4,
724,Jun 27 2021 08:40 AM,5-Mar,
725,Jun 26 2021 10:30 PM,2-5%,
726,Jun 26 2021 08:21 PM,3-4%,
727,Jun 26 2021 08:08 PM,3.50%,
728,Jun 26 2021 07:41 PM,At least 5%,
729,Jun 26 2021 07:11 PM,5%,
730,Jun 26 2021 04:37 PM,501c,
731,Jun 26 2021 04:30 PM,4%?,
732,Jun 26 2021 04:29 PM,User fees,
733,Jun 26 2021 04:25 PM,1.5,
734,Jun 26 2021 03:57 PM,3,
735,Jun 26 2021 03:33 PM,5%,
736,Jun 26 2021 01:21 PM,10%,
737,Jun 26 2021 10:18 AM,I think the current is fair. Would be willing to pay slightly more for more parks or impactful improvements … not more than $100 per year per household ,
738,Jun 26 2021 10:00 AM,3%,
739,Jun 26 2021 09:45 AM,2%,
740,Jun 26 2021 09:42 AM,4.4,
741,Jun 26 2021 09:13 AM,4%,
742,Jun 26 2021 08:11 AM,2.2,
743,Jun 26 2021 06:40 AM,2.5,
744,Jun 25 2021 08:57 PM,More than 2.2%,
745,Jun 25 2021 08:23 PM,?,
746,Jun 25 2021 08:10 PM,10%,
747,Jun 25 2021 07:57 PM,3%,
748,Jun 25 2021 06:48 PM,2.3,
749,Jun 25 2021 06:37 PM,4%,
750,Jun 25 2021 06:33 PM,2.5 - 3%,
751,Jun 25 2021 06:16 PM,5%,
752,Jun 25 2021 06:00 PM,2 to 3%,
753,Jun 25 2021 05:05 PM,N/A,
754,Jun 25 2021 04:14 PM,2-3%,
755,Jun 25 2021 03:42 PM,I don’t know ,
756,Jun 25 2021 03:19 PM,Unsure,
757,Jun 25 2021 03:16 PM,2-3%?,
758,Jun 25 2021 02:19 PM,"? 5%? We pay $10-15/month for each video streaming service and we use them less than we use the parks, so…..  Certainly we would be fine paying 5-10 times the $55 above, but of course it’s all relative to all the other stuff. We would also love to stop having water main breaks all the time, so, other priorities must be weighed. ",
759,Jun 25 2021 01:49 PM,small,
760,Jun 25 2021 01:49 PM,2.4,
761,Jun 25 2021 01:14 PM,3%,
762,Jun 25 2021 11:56 AM,3%,
763,Jun 25 2021 11:55 AM,"It depends upon costs and needs.  Without understanding those, you cannot expect people to answer this question.",
764,Jun 25 2021 11:00 AM,5%,
765,Jun 25 2021 11:00 AM,3.50%,
766,Jun 25 2021 10:33 AM,3-5%,
767,Jun 25 2021 10:19 AM,2.5-5%,
768,Jun 25 2021 10:18 AM,5%,
769,Jun 25 2021 09:57 AM,3%,
770,Jun 25 2021 09:49 AM,5%,
771,Jun 25 2021 08:54 AM,Unsure.,
772,Jun 25 2021 08:52 AM,5,
773,Jun 25 2021 08:41 AM,Not sure,
774,Jun 25 2021 08:31 AM,5%,
775,Jun 25 2021 08:06 AM,at least 10%,
776,Jun 25 2021 07:55 AM,3%,
777,Jun 25 2021 07:50 AM,Don't know,
778,Jun 25 2021 07:40 AM,3%,
779,Jun 25 2021 07:25 AM,I am not a homeowner,
780,Jun 25 2021 07:04 AM,I am a renter.,
781,Jun 25 2021 06:23 AM,4,
782,Jun 25 2021 12:52 AM,25%,
783,Jun 25 2021 12:38 AM,As is.,
784,Jun 24 2021 10:31 PM,3%,
785,Jun 24 2021 10:29 PM,2%,
786,Jun 24 2021 10:17 PM,At least 5%,
787,Jun 24 2021 10:15 PM,I would pay $100 a year without question,
788,Jun 24 2021 10:01 PM,5%,
789,Jun 24 2021 09:39 PM,4%,
790,Jun 24 2021 09:17 PM,1.50%,
791,Jun 24 2021 09:09 PM,3-5%,
792,Jun 24 2021 09:09 PM,3,
793,Jun 24 2021 09:02 PM,2,
794,Jun 24 2021 08:46 PM,Have no idea,
795,Jun 24 2021 08:35 PM,2.1,
796,Jun 24 2021 08:10 PM,3%,
797,Jun 24 2021 08:03 PM,?,
798,Jun 24 2021 07:48 PM,5%,
799,Jun 24 2021 07:44 PM,Unknown,
800,Jun 24 2021 07:35 PM,2.3,
801,Jun 24 2021 07:34 PM,This is a hard question given that some folks can’t afford not taxes,
802,Jun 24 2021 07:12 PM,5%,
803,Jun 24 2021 07:10 PM,4-Mar,
804,Jun 24 2021 06:49 PM,2.5? I could see it being a little higher but not if it cost much more to people. Taxes are already so high.,
805,Jun 24 2021 05:54 PM,3%,
806,Jun 24 2021 05:40 PM,5%,
807,Jun 24 2021 05:25 PM,Not sure,
808,Jun 24 2021 04:41 PM,3%,
809,Jun 24 2021 04:30 PM,5%,
810,Jun 24 2021 04:26 PM,5%,
811,Jun 24 2021 03:18 PM,2 percent ,
812,Jun 24 2021 03:10 PM,"I’m really not sure, I don’t pay taxes to Montpelier",
813,Jun 24 2021 02:57 PM,2.5 - 3.0%,
814,Jun 24 2021 02:20 PM,Don’t know. How about ,
815,Jun 24 2021 02:14 PM,5%,
816,Jun 24 2021 02:12 PM,2.50%,
817,Jun 24 2021 01:46 PM,100,
818,Jun 24 2021 01:11 PM,5%,
819,Jun 24 2021 01:06 PM,4%,
820,Jun 24 2021 12:28 PM,2.2,
821,Jun 24 2021 11:44 AM,Don't have an answer,
822,Jun 24 2021 11:11 AM,3.5 or higher,
823,Jun 24 2021 10:47 AM,3%,
824,Jun 24 2021 10:36 AM,3-4%,
825,Jun 24 2021 09:09 AM,Not sure,
826,Jun 24 2021 08:41 AM,It's spot on,
827,Jun 24 2021 08:39 AM,2.2,
828,Jun 24 2021 08:39 AM,1%,
829,Jun 24 2021 08:37 AM,No idea!,
830,Jun 24 2021 08:26 AM,4%,
831,Jun 24 2021 08:13 AM,2.2,
832,Jun 24 2021 08:12 AM,Not sure! I answered “just right” above but I would be willing to pay more,
833,Jun 24 2021 08:09 AM,I don’t know,
834,Jun 24 2021 08:02 AM,Don't live in montpelier,
835,Jun 24 2021 07:53 AM,7,
836,Jun 24 2021 07:29 AM,2.3,
837,Jun 24 2021 07:19 AM,4%,
838,Jun 24 2021 07:15 AM,3%,
839,Jun 24 2021 07:08 AM,I don’t know,
840,Jun 24 2021 07:02 AM,2%,
841,Jun 24 2021 06:43 AM,5%,
842,Jun 24 2021 06:39 AM,5%,
843,Jun 24 2021 06:16 AM,5%,
844,Jun 24 2021 06:15 AM,Not sure ,
845,Jun 23 2021 11:52 PM,"if they were actually available to everyone--i.e., dogs on leash--5%.  since only a very small segment of residents can use the park, 1%.",
846,Jun 23 2021 11:32 PM,3.50%,
847,Jun 23 2021 11:23 PM,I'd go for at least 5% but I'd advocate for re-distribution of existing taxes rather than increasing taxes.,
848,Jun 23 2021 10:21 PM,5,
849,Jun 23 2021 10:05 PM,I don't know enough about what percentages of the budget cover other items to answer. ,
850,Jun 23 2021 09:54 PM,5%,
851,Jun 23 2021 09:35 PM,3,
852,Jun 23 2021 09:10 PM,3,
853,Jun 23 2021 08:56 PM,"The amount it takes to maintain and improve our spaces, modestly. Montpelier taxpayers can’t afford an increase for this reason but should be able to maintain this responsibility. ",
854,Jun 23 2021 08:36 PM,5%,
855,Jun 23 2021 08:35 PM,0,
856,Jun 23 2021 08:32 PM,10%,
857,Jun 23 2021 08:17 PM,5,
858,Jun 23 2021 08:11 PM,Not sure,
859,Jun 23 2021 07:47 PM,4,
860,Jun 23 2021 07:40 PM,Not sure.,
861,Jun 23 2021 07:35 PM,5%,
862,Jun 23 2021 07:31 PM,5%,
863,Jun 23 2021 07:05 PM,3,
864,Jun 23 2021 07:01 PM,4-Mar,
865,Jun 23 2021 06:52 PM,8%,
866,Jun 23 2021 06:50 PM,The existing amount is ok. Don't want to pay more.,
867,Jun 23 2021 06:49 PM,5%,
868,Jun 23 2021 06:34 PM,The current amount.,
869,Jun 23 2021 06:23 PM,Perhaps 5%,
870,Jun 23 2021 06:19 PM,5%,
871,Jun 23 2021 06:18 PM,not sure,
872,Jun 23 2021 05:44 PM,4%,
873,Jun 23 2021 05:42 PM,sdfgsdg,
874,Jun 23 2021 05:41 PM,3%,
875,Jun 23 2021 05:38 PM,3%,
876,Jun 23 2021 05:30 PM,Not sure,
877,Jun 23 2021 05:24 PM,3%,
878,Jun 23 2021 05:24 PM,3%,
879,Jun 23 2021 05:10 PM,Not sure ,
880,Jun 23 2021 04:37 PM,2.20%,
881,Jun 23 2021 04:36 PM,3-5%,
882,Jun 23 2021 04:22 PM,2.2,
883,Jun 23 2021 04:17 PM,10.5%/,
884,Jun 23 2021 04:14 PM,4percent,
885,Jun 23 2021 04:08 PM,5%,
886,Jun 23 2021 04:04 PM,3%,
887,Jun 23 2021 04:02 PM,20%,
888,Jun 23 2021 03:48 PM,5,
889,Jun 23 2021 03:44 PM,2.50%,
890,Jun 23 2021 03:35 PM,5%,
891,Jun 23 2021 03:28 PM,at least 5% seems reasonable - they are a centerpiece of our town,
892,Jun 23 2021 03:28 PM,3%$75,
893,Jun 23 2021 03:07 PM,TBD ,
894,Jun 23 2021 03:07 PM,"At least $200-300! But I use these facilities a lot, and would like them to be higher-grade...",
895,Jun 23 2021 02:53 PM,25%,
896,Jun 23 2021 02:47 PM,3.00%,
897,Jun 23 2021 02:24 PM,5%,
898,Jun 23 2021 02:03 PM,I don’t know ,
899,Jun 23 2021 01:59 PM,5%,
900,Jun 23 2021 01:58 PM,5%,
901,Jun 23 2021 01:50 PM,Taxes need to decrease cannot afford to live in Montpelier.,
902,Jun 23 2021 01:45 PM,5%,
903,Jun 23 2021 01:45 PM,10% as long as it doesn't add to property tax - it would have to take from something else.,
904,Jun 23 2021 01:35 PM,The same or a little more would be fine.,
905,Jun 23 2021 01:35 PM,3.10%,
906,Jun 23 2021 01:30 PM,Not sure,
907,Jun 23 2021 01:27 PM,Do not know,
908,Jun 23 2021 01:24 PM,2,
909,Jun 23 2021 01:09 PM,5%,
910,Jun 23 2021 01:03 PM,2.5,
911,Jun 23 2021 01:00 PM,Unsure ,
912,Jun 23 2021 12:55 PM,5%,
913,Jun 23 2021 12:42 PM,can't say without knowing how it would be spent,
914,Jun 23 2021 12:27 PM,"Hard to know exactly, but 4% sounds good.",
915,Jun 23 2021 12:13 PM,5,
916,Jun 23 2021 12:11 PM,5,
917,Jun 23 2021 12:08 PM,2.2,
918,Jun 23 2021 12:05 PM,5%,
919,Jun 23 2021 11:58 AM,2.50%,
920,Jun 23 2021 11:55 AM,I am not sure. ,
921,Jun 23 2021 11:39 AM,5%,
922,Jun 23 2021 11:25 AM,4%,
923,Jun 23 2021 11:23 AM,It is fine as it is.,
924,Jun 23 2021 10:55 AM,5-10%,
925,Jun 23 2021 10:49 AM,5%,
926,Jun 23 2021 10:48 AM,22%,
927,Jun 23 2021 10:47 AM,Not sure exactly but I am comfortable paying what we currently pay,
928,Jun 23 2021 10:43 AM,3%,
929,Jun 23 2021 10:40 AM,As is,
930,Jun 23 2021 10:31 AM,4%,
931,Jun 23 2021 10:27 AM,Not sure,
932,Jun 23 2021 10:22 AM,1%,
933,Jun 23 2021 10:16 AM,3,
934,Jun 23 2021 10:15 AM,2,
935,Jun 23 2021 10:14 AM,Hard to say. Don't have a good feel for this.,
936,Jun 23 2021 10:07 AM,4%,
937,Jun 23 2021 09:57 AM,"I don’t know. If the current amount satisfies our requirements, then that’s fine.",
938,Jun 23 2021 09:56 AM,5%,
939,Jun 23 2021 09:55 AM,3%,
940,Jun 23 2021 09:52 AM,Current rate ,
941,Jun 23 2021 09:46 AM,No idea,
942,Jun 23 2021 09:46 AM,If you just up it to 3% you'd have a much bigger budget.,
943,Jun 23 2021 09:37 AM,4%,
944,Jun 23 2021 09:29 AM,3%,
945,Jun 23 2021 09:25 AM,3-5%,
946,Jun 23 2021 09:20 AM,3%,
947,Jun 23 2021 09:17 AM,3%,
948,Jun 23 2021 09:05 AM,4.4,
949,Jun 23 2021 09:05 AM,0 our taxes are too high already ,
950,Jun 23 2021 09:01 AM,2.2,
951,Jun 23 2021 09:00 AM,"I honestly don't know. I don't want taxes to go up, but I 100% support the parks, and if enhancing them meant an increase to, say 2.5% of the budget, that would be OK. But there are a lot of moderate- to low- income people in the city who cannot handle more tax increases so it's a hard call.",
952,Jun 23 2021 08:52 AM,2%,
953,Jun 23 2021 08:45 AM,4%,
954,Jun 23 2021 08:44 AM,2.20%,
955,Jun 23 2021 08:43 AM,"10%, but that's a complicated question without seeing the whole budget breakdown",
956,Jun 23 2021 08:40 AM,Just right,
957,Jun 23 2021 08:40 AM,3%,
958,Jun 23 2021 08:40 AM,2.30%,
959,Jun 23 2021 08:39 AM,2.5?,
960,Jun 23 2021 08:29 AM,not a relevant way to think about how much should be spent,
961,Jun 23 2021 08:29 AM,Not sure,
962,Jun 23 2021 08:28 AM,"Whatever pensions and bennies cost divided by three. Or, put the money into the homeless who have taken over a few parks.  ",
963,Jun 23 2021 08:28 AM,At least proportionate to the police budget,
964,Jun 23 2021 08:23 AM,10%,
965,Jun 23 2021 08:11 AM,25 percent ,
966,Jun 23 2021 08:04 AM,2.20%,
967,Jun 23 2021 08:04 AM,.,
968,Jun 23 2021 07:35 AM,more than is currently being invested,
969,Jun 23 2021 07:31 AM,5%,
970,Jun 23 2021 07:27 AM,Five percent,
971,Jun 23 2021 07:21 AM,5,
972,Jun 23 2021 07:18 AM,5-10%,
973,Jun 23 2021 07:12 AM,3%,
974,Jun 23 2021 07:06 AM,3%,
975,Jun 23 2021 07:00 AM,3,
976,Jun 23 2021 06:52 AM,2%+,
977,Jun 23 2021 06:40 AM,5%,
978,Jun 23 2021 06:38 AM,2.5 - 3%,
979,Jun 23 2021 06:28 AM,2.50%,
980,Jun 23 2021 06:24 AM,2.2,
981,Jun 23 2021 06:15 AM,5 per cent,
982,Jun 23 2021 06:07 AM,5% to 8%,
983,Jun 23 2021 06:05 AM,2%,
984,Jun 23 2021 05:59 AM,5%,
985,Jun 23 2021 05:59 AM,3%,
986,Jun 23 2021 05:58 AM,3,
987,Jun 23 2021 05:54 AM,The current version is fine,
988,Jun 23 2021 05:47 AM,2.50%,
989,Jun 23 2021 05:41 AM,3,
990,Jun 23 2021 05:33 AM,3,
991,Jun 23 2021 04:48 AM,5%,
992,Jun 23 2021 02:10 AM,"2,2%",
993,Jun 22 2021 11:38 PM,2.6,
994,Jun 22 2021 11:27 PM,10,
995,Jun 22 2021 11:22 PM,N/A,
996,Jun 22 2021 11:19 PM,Don’t know,
997,Jun 22 2021 11:17 PM,10,
998,Jun 22 2021 11:14 PM,5,
999,Jun 22 2021 11:13 PM,2.2,
1000,Jun 22 2021 11:12 PM,5%,
1001,Jun 22 2021 11:04 PM,2.70%,
1002,Jun 22 2021 11:02 PM,3%,
1003,Jun 22 2021 11:00 PM,Not sure,
1004,Jun 22 2021 10:59 PM,5,
1005,Jun 22 2021 10:57 PM,5%,
1006,Jun 22 2021 10:52 PM,Not sure,
1007,Jun 22 2021 10:49 PM,"Without seeing how the budget is currently allocated, 5% seems in the ballpark.",
1008,Jun 22 2021 10:42 PM,4,
1009,Jun 22 2021 10:42 PM,3-5%,
1010,Jun 22 2021 10:38 PM,"Don’t know, what’s is industry average?",
1011,Jun 22 2021 10:38 PM,10%,
1012,Jun 22 2021 10:35 PM,don’t know,
1013,Jun 22 2021 10:35 PM,3%,
1014,Jun 22 2021 10:32 PM,3%,
1015,Jun 22 2021 10:32 PM,2.20%,
1016,Jun 22 2021 10:31 PM,2.7,
1017,Jun 22 2021 10:20 PM,5%,
1018,Jun 22 2021 10:20 PM,10,
1019,Jun 22 2021 10:18 PM,5%,
1020,Jun 22 2021 10:17 PM,$10/yr.,
1021,Jun 22 2021 10:14 PM,5%,
1022,Jun 22 2021 10:12 PM,6%,
1023,Jun 22 2021 10:10 PM,5%,
1024,Jun 22 2021 10:10 PM,4%,
1025,Jun 22 2021 10:06 PM,3%,
1026,Jun 22 2021 10:04 PM,Idk,
1027,Jun 22 2021 10:04 PM,"Can't answer without context, as budgeting is about tradeoffs -- I would value more spent on Parks but would balance elsewhere in the budget.",
1028,Jun 22 2021 10:03 PM,2.2,
1029,Jun 22 2021 10:03 PM,$100 ,
1030,Jun 22 2021 10:02 PM,???,
1031,Jun 22 2021 10:02 PM,5,
1032,Jun 22 2021 10:02 PM,3%,
1033,Jun 22 2021 10:01 PM,5%,
1034,Jun 22 2021 09:58 PM,0.50%,
1035,Jun 22 2021 09:56 PM,4%,
1036,Jun 22 2021 09:53 PM,8%,
1037,Jun 22 2021 09:50 PM,Double the current,
1038,Jun 22 2021 09:50 PM,2.2% works fine for me,
1039,Jun 22 2021 09:48 PM,5,
1040,Jun 22 2021 09:48 PM,$120 ,
1041,Jun 22 2021 09:47 PM,5,
1042,Jun 22 2021 09:46 PM,3,
1043,Jun 22 2021 09:45 PM,10-May,
1044,Jun 22 2021 09:43 PM,5%,
1045,Jun 22 2021 09:39 PM,2.5,
1046,Jun 22 2021 09:37 PM,3,
1047,Jun 22 2021 09:35 PM,4%,
1048,Jun 22 2021 09:31 PM,3%,
1049,Jun 22 2021 09:22 PM,4%,
1050,Jun 22 2021 09:17 PM,"2.5%, if bike lanes on the city roads were included (which we desperately need), 3-4%",
1051,Jun 22 2021 09:01 PM,3-4%,
1052,Jun 22 2021 08:56 PM,3-4%,
1053,Jun 22 2021 08:50 PM,2.50%,
